feature,mean_abs_shap
pa_met,0.18656209
alcohol,0.17352173
smoke_status,0.13264963
alcohol_status,0.11023666
fg25,0.087187946
fbs,0.08710988
Total_Nia,0.051969495
fwgti_prov,0.04913475
ever_smk,0.039159894
chol,0.03840866
fwgti_natl_var,0.03723189
fwgti_prov2,0.03705061
drnk_30d_num,0.03695754
drnk_30days,0.036779713
fwgti_natl2_var,0.036660213
hdl,0.035580885
Total_Fat,0.035493463
fg1,0.03467633
ldl,0.031178363
fg15,0.031101972
epwt_fg8,0.028858744
epwt_fg4,0.028035559
tri,0.027359987
epwt_fg25,0.023224276
Total_Thia,0.02293103
Total_Prot,0.021355517
Total_CHO,0.021003988
fg8,0.02062729
fg18,0.0203712
fg4,0.020222047
Total_VitC,0.019777233
binge_drink,0.01800479
epwt_fg15,0.017934129
Total_Iron,0.017539127
epwt_fg16,0.016820556
con_alcohol,0.016680457
fg9,0.016237099
Total_Ribo,0.016182452
fg2,0.015762458
Total_Calc,0.015517312
Total_Ener,0.013591728
fg14,0.012864325
fg7,0.012703872
Total_VitA,0.0124398125
fg24,0.012307623
Total_Food_epwt,0.011747364
epwt_fg23,0.011633646
fg6,0.011488198
fg16,0.010856722
epwt_fg18,0.010830588
fg23,0.010553785
fg3,0.0102968495
epwt_fg17,0.0100950645
epwt_fg14,0.009544735
fg17,0.009353493
fg10,0.009006325
epwt_fg6,0.008850881
epwt_fg1,0.008539946
fg26,0.008507052
Total_Food,0.00834025
epwt_fg10,0.008089784
fg27,0.007837002
fg19,0.007727306
epwt_fg7,0.0075449953
fg5,0.007172302
epwt_fg11,0.007115428
fg13,0.007097934
epwt_fg24,0.0070896363
epwt_fg9,0.006311408
currentsmoking,0.0061710067
fg20,0.006130334
fg11,0.0055695083
epwt_fg3,0.005043563
epwt_fg13,0.0049191276
epwt_fg12,0.0046200296
epwt_fg5,0.004344704
epwt_fg26,0.0042575053
epwt_fg2,0.0036349536
epwt_fg19,0.00331006
epwt_fg20,0.0031891752
fg12,0.003051986
fg21,0.0027011652
epwt_fg27,0.0023401936
epwt_fg21,0.0018639748
