model,calibration,test_accuracy,test_recall,test_f1,test_auc,test_logloss,test_min_acc_rec_f1
XGB_bal,base,0.6622834245724928,0.7143666582724755,0.6547227511395765,0.7286274802562003,0.6064860101229278,0.6547227511395765
XGB_bal,platt,0.6655567469947514,0.6334676403928482,0.6293470102576932,0.7286274802562003,0.6029424753351372,0.6293470102576932
XGB_bal,isotonic,0.6647666346859303,0.6178544447242508,0.6229529008505776,0.7285020229640242,0.6032400707262939,0.6178544447242508
XGB_bal,venn_abers,0.6647948529826739,0.6181062704608411,0.623068380136443,0.7284665314915978,0.6049851817786536,0.6181062704608411
LGB_bal,base,0.6626502624301597,0.7153739612188366,0.6552867564372423,0.7283142386732573,0.6063821598214084,0.6552867564372423
LGB_bal,platt,0.6647948529826739,0.630256862251322,0.6276292279238895,0.7283142386732573,0.6031061466910749,0.6276292279238895
LGB_bal,isotonic,0.6640893955640838,0.5802064971040041,0.6075949367088608,0.7279559208114821,0.6033921020754218,0.5802064971040041
LGB_bal,venn_abers,0.664145832157571,0.5804583228405943,0.6077384483554149,0.7279950987479108,0.6034492424643473,0.5804583228405943
CAT_bal,base,0.6625091709464417,0.7292243767313019,0.6595114729829755,0.7304849413644237,0.6053681191375195,0.6595114729829755
CAT_bal,platt,0.6669394435351882,0.6402039788466382,0.6327743380728664,0.7304849413644237,0.6013779598261737,0.6327743380728664
CAT_bal,isotonic,0.6678424290309837,0.6339083354318812,0.6311072111316557,0.7301728459659214,0.6009138031925932,0.6311072111316557
CAT_bal,venn_abers,0.6674191545798296,0.6349156383782423,0.6311803730128928,0.7302042034472747,0.6008760956749326,0.6311803730128928
LGB_optuna,base,0.6625373892431853,0.7286577688239738,0.6593556840516136,0.7300369603271051,0.6055543205274788,0.6593556840516136
LGB_optuna,platt,0.66507703595011,0.6388189372953916,0.6309734788421478,0.7300369603271051,0.6016599529223338,0.6309734788421478
LGB_optuna,isotonic,0.6661493312263672,0.6240871317048602,0.6262753893293742,0.7300035744856458,0.6040001728056554,0.6240871317048602
LGB_optuna,venn_abers,0.6660928946328799,0.6240871317048602,0.6262358255156512,0.7300451574776288,0.6059502986678814,0.6240871317048602
STACK_blend,base,0.6664315141938033,0.6405187610173759,0.6325344275544779,0.7305234576691034,0.6013381888933834,0.6325344275544779
STACK_blend,platt,0.6659800214459055,0.631578947368421,0.6289458010720667,0.7305234576691034,0.6030786828136252,0.6289458010720667
STACK_blend,isotonic,0.6665726056775213,0.6692898514228154,0.642783723320636,0.7300625241036793,0.6064750195559956,0.642783723320636
STACK_blend,venn_abers,0.6663186410068288,0.6697305464618484,0.6427600374611039,0.7302081281630988,0.6056275424551828,0.6427600374611039
OOF_meta_cal,base,0.6660364580393927,0.6317048602367162,0.629031752499765,0.7305468739596606,0.6030918969234274,0.629031752499765
OOF_meta_cal,platt,0.6660082397426491,0.6248426089146311,0.6264596351701067,0.7305468739596606,0.6050274109564276,0.6248426089146311
OOF_meta_cal,isotonic,0.6661493312263672,0.6706748929740619,0.6429670760781,0.7300725950725865,0.6065613375449077,0.6429670760781
OOF_meta_cal,venn_abers,0.6661775495231108,0.6707378494082096,0.6430080270384453,0.7300841921410023,0.6056879782701281,0.6430080270384453
