feature,weight
num__age <= -0.92,-0.28741688614274374
num__bmi <= -0.94,-0.13758757646836137
-1.03 < num__sex <= 0.97,-0.06913189004252664
num__anthro_group <= -0.42,-0.018800585279279
num__strrec_anthro > 0.76,0.011799683366709527
-0.06 < num__whr <= 0.55,-0.010917085835689672
num__fg3 <= -0.37,0.010221314050267046
num__fg12 <= -0.26,0.009250799152041803
-1.01 < num__fg18 <= -0.23,0.008636635260769132
num__fg9 > 0.26,-0.008439386226092898
num__fe_smoking_level <= -0.65,0.007827208253123486
num__fg11 <= -0.37,-0.007775192024582563
