feature_rule,mean_abs_weight
num__age <= -0.88,0.3139049574434107
num__bmi <= -0.82,0.14615285335919612
-0.88 < num__age <= -0.23,0.14051638007355963
-0.23 < num__age <= 0.79,0.10142225726446903
-0.82 < num__bmi <= -0.08,0.08172614623699076
-0.93 < num__psc_anthro <= 1.03,0.06998767278484597
num__psc_anthro <= -0.97,0.058806730846218846
-0.64 < num__regcode_anthro <= -0.31,0.02683800502587275
num__psurec_anthro > -0.05,0.026247303018210925
num__whr <= -0.64,0.024971996756145098
num__fg3 > -0.24,0.021318465166493182
num__regcode_anthro > 0.12,0.02097106827050003
-0.18 < num__fg10 <= 0.23,0.02037965567550107
num__ethnicity <= -0.26,0.017262678599523996
-0.08 < num__bmi <= 0.64,0.017063097754087396
-0.78 < num__mos_lactation <= 0.08,0.01704985471556195
-0.64 < num__whr <= -0.09,0.01686594070647881
num__fg26 > 0.32,0.01620860180607495
-0.31 < num__regcode_anthro <= 0.12,0.015648546007723085
-0.72 < num__fg16 <= -0.26,0.015434712650831673
num__fg16 <= -0.72,0.014964158420315753
-0.02 < num__mos_preg <= 0.83,0.013788346721650373
num__fg16 > 0.37,0.013550404850233932
num__fe_alcohol_level <= -0.91,0.013128982592022092
num__fg3 <= -0.37,0.012751329658219818
num__fg11 > 0.08,0.01268463615048545
num__cu <= -0.63,0.01263916285638388
num__fg5 <= -0.31,0.012585451396516917
-0.11 < num__Total_CHO <= 0.46,0.011992919365814134
-0.57 < num__fg17 <= -0.40,0.0114691455453647
-0.10 < num__cu <= 0.51,0.011266144887568183
num__fg18 > 0.47,0.011082999981182493
num__fe_smoking_level <= -0.64,0.011013535783207844
num__fg9 > 0.26,0.010686950966671993
num__Total_CHO > 0.46,0.010526908361808744
-0.50 < num__fg24 <= -0.26,0.010475281331529196
num__fg12 <= -0.26,0.010216535197585792
num__mos_lactation > 0.94,0.010182011374063916
-0.09 < num__whr <= 0.54,0.010130246794039347
-0.50 < num__fg10 <= -0.18,0.010097618702500023
num__fg18 <= -0.74,0.010075475495409549
-0.44 < num__fe_alcohol_level <= 0.75,0.009812068531960838
-0.84 < num__provcode_anthro <= -0.13,0.009549481163059852
-0.26 < num__fg24 <= 0.17,0.009445026402061161
num__fg11 <= -0.35,0.009340481226897365
num__fg17 <= -0.57,0.009242866316598711
num__cu > 0.51,0.009233395233913156
-0.26 < num__fg19 <= 0.16,0.00920072555999159
-0.29 < num__fg7 <= 0.21,0.008751044996001604
num__mos_preg <= -0.69,0.008418990303793004
num__fg15 <= -0.61,0.008377781511873121
-0.61 < num__fg15 <= -0.15,0.0080764247383677
num__fg23 <= -0.46,0.0078037432071514515
num__fg27 <= -0.17,0.007691391614400235
num__fg19 <= -0.52,0.0075689409240263066
num__Total_Riboflavin <= -0.52,0.007251720226425872
-0.15 < num__fg15 <= 0.39,0.007218474569922018
num__anthro_group <= -0.42,0.0069849476124687155
num__fg21 <= -0.16,0.006973303653082443
-0.69 < num__mos_preg <= -0.02,0.006816758444847462
-0.60 < num__Total_Calcium <= -0.13,0.0067026512612153345
num__Total_Fat <= -0.64,0.006441722949517446
-0.21 < num__fg23 <= 0.16,0.006380278203805687
-0.46 < num__fg23 <= -0.21,0.006184248745193411
-0.24 < num__fg9 <= 0.26,0.006108185593749542
-0.47 < num__Total_Iron <= -0.16,0.005896802988009603
-0.18 < num__Total_Fat <= 0.42,0.005713404828998282
-0.20 < num__fg26 <= 0.32,0.00553280555006795
-0.23 < num__fg11 <= 0.08,0.00533334366100318
