model,method,cal_logloss,cal_ece,cal_auc,cal_f1,logloss_rank,ece_rank,avg_rank
random_forest,base,0.4637760539939696,0.011806671016118753,0.8277584902308909,0.6698806797637701,1.0,6.0,3.5
catboost,base,0.46429066805347724,0.01029898459689862,0.8275687324655321,0.6645359557467732,3.0,4.0,3.5
lightgbm,base,0.4638105989109782,0.012366772687353677,0.8277124624702084,0.6658518699584454,2.0,9.0,5.5
xgboost,base,0.46530431405433437,0.011837709029975982,0.8269779876809427,0.6652094717668489,5.0,7.0,6.0
catboost,isotonic,0.4654797422741963,0.012276850401475303,0.8272378240626231,0.6676370693837943,8.0,8.0,8.0
xgboost,isotonic,0.467260442672624,0.01261205233739307,0.82601394921742,0.6652942601114071,12.0,10.0,11.0
lightgbm,venn_abers,0.46510895341401387,0.015813479678697624,0.8270767181861556,0.6740828402366864,4.0,20.0,12.0
random_forest,isotonic,0.4654411949557974,0.01445435842491768,0.8272920430567481,0.6727770503511487,7.0,17.0,12.0
catboost,venn_abers,0.4662622825926588,0.01348030115109329,0.8273198061096703,0.6675560946027895,10.0,14.0,12.0
xgboost,venn_abers,0.4670484816206246,0.01314310923152081,0.8260252600908328,0.6650526570633095,11.0,13.0,12.0
adaboost,isotonic,0.47758195851956436,0.010218729656319555,0.8254846735399598,0.6634062843868443,21.0,3.0,12.0
knn,isotonic,0.48729041246616484,0.009043188675429865,0.8087578611441626,0.6189490033652602,23.0,1.0,12.0
random_forest,venn_abers,0.4654371602125391,0.01535320903700892,0.827442848892866,0.6729350154725066,6.0,19.0,12.5
adaboost,venn_abers,0.4769646892150967,0.010918241594619007,0.8255784370206386,0.6643910764354505,20.0,5.0,12.5
knn,venn_abers,0.48735528621813734,0.009639399803896791,0.8086456412460044,0.6189490033652602,24.0,2.0,13.0
lightgbm,isotonic,0.46560360039919785,0.01462238889743962,0.8270900332975382,0.6740828402366864,9.0,18.0,13.5
adaboost,platt,0.4677934856843045,0.01745153774394284,0.8257632277614635,0.6514575411913816,13.0,21.0,17.0
log_reg,venn_abers,0.47392912599621284,0.014088617820842355,0.8227873177955977,0.6565,18.0,16.0,17.0
log_reg,isotonic,0.4746699716976281,0.01354418882571414,0.8227042900591749,0.6565820727590949,19.0,15.0,17.0
lightgbm,platt,0.46939902777114534,0.02937410025190994,0.8277124624702084,0.6585,14.0,23.0,18.5
random_forest,platt,0.4695429419469132,0.03159069782095824,0.8277584902308909,0.6563444108761329,15.0,24.0,19.5
naive_bayes,venn_abers,0.5168974914490104,0.012838789341514606,0.7779037678558433,0.6292978208232446,28.0,11.0,19.5
catboost,platt,0.47046489438014666,0.032130917847274634,0.8275687324655321,0.657537688442211,16.0,25.0,20.5
naive_bayes,isotonic,0.5169261235712413,0.013073358007826899,0.7777599158540731,0.6292080406878179,29.0,12.0,20.5
xgboost,platt,0.47230669914475487,0.03311396472216692,0.8269779876809427,0.6556192374781958,17.0,26.0,21.5
knn,base,0.48890234278068584,0.026694217063737046,0.8090039467105541,0.6014287639843645,25.0,22.0,23.5
log_reg,base,0.4870261132699781,0.05522733474960897,0.8236347967500531,0.6066074403109384,22.0,28.0,25.0
knn,platt,0.495307426680318,0.0426433110311695,0.8090039467105541,0.6142950819672132,26.0,27.0,26.5
log_reg,platt,0.49589760649553366,0.07360723197295341,0.8236347967500531,0.5981070772708009,27.0,30.0,28.5
naive_bayes,platt,0.5326115025505056,0.0567320366780749,0.7757010754706091,0.5752029723407183,31.0,29.0,30.0
adaboost,base,0.5174068701255016,0.10595929676821461,0.8257632277614635,0.6514575411913816,30.0,31.0,30.5
naive_bayes,base,0.7903949599415829,0.14429545801200136,0.7757010754706091,0.6159990016223637,32.0,32.0,32.0
