model_name,strategy,use_class_weight,sampler,cv_requested_folds,cv_folds_used,cv_best_f1,cv_best_auc,cal_accuracy,cal_precision,cal_recall,cal_f1,cal_auc,cal_logloss,best_params,model_path,selected_reason
AdaBoost,smote,False,smote,30,30,0.6815152613398487,0.8205608959231214,0.7267395713907752,0.5617743891873159,0.8505837596746688,0.6766501434907384,0.8171098076565906,0.5259873107935399,"{""model__learning_rate"": 0.1, ""model__n_estimators"": 250}",c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts\models\AdaBoost__smote__gridsearch_best.joblib,best_f1
AdaBoost,smote_class_weight,True,smote,30,30,0.6815152613398487,0.8205608959231214,0.7267395713907752,0.5617743891873159,0.8505837596746688,0.6766501434907384,0.8171098076565906,0.5259873107935399,"{""model__learning_rate"": 0.1, ""model__n_estimators"": 250}",c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts\models\AdaBoost__smote_class_weight__gridsearch_best.joblib,best_auc
CatBoost,class_weight,True,none,30,30,0.6878088221386783,0.8262905366309435,0.737146132815945,0.573267501322518,0.8529450347632166,0.6856841550224096,0.821282787808557,0.5077764127731889,"{""model__depth"": 6, ""model__iterations"": 300, ""model__learning_rate"": 0.05}",c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts\models\CatBoost__class_weight__gridsearch_best.joblib,best_f1
CatBoost,adasyn,False,adasyn,30,30,0.6863144770083555,0.823450979087636,0.7419525531351971,0.5813504823151125,0.830119375573921,0.6838124054462935,0.81742584679996,0.4912352421353699,"{""model__depth"": 6, ""model__iterations"": 300, ""model__learning_rate"": 0.05}",c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts\models\CatBoost__adasyn__gridsearch_best.joblib,best_auc
ExtraTrees,smote,False,smote,30,30,0.6817912695215462,0.8164951995300196,0.730090836934474,0.5656698146204967,0.8486160304342123,0.6788393934624062,0.8142771096908955,0.5239605705061623,"{""model__max_depth"": 14, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts\models\ExtraTrees__smote__gridsearch_best.joblib,best_f1
ExtraTrees,adasyn_class_weight,True,adasyn,30,30,0.6820024797658851,0.8168727170104835,0.7215362906781904,0.5545363575717145,0.8723599632690542,0.6780525108335458,0.8144617141930025,0.5371630462996745,"{""model__max_depth"": 14, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts\models\ExtraTrees__adasyn_class_weight__gridsearch_best.joblib,best_auc
LightGBM,class_weight,True,none,30,30,0.6855938898707802,0.8224924600983825,0.7361760296322427,0.5725535303486109,0.8488783943329398,0.6838573315719947,0.8203841849202799,0.5068064001538547,"{""model__learning_rate"": 0.05, ""model__n_estimators"": 300, ""model__num_leaves"": 31}",c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts\models\LightGBM__class_weight__gridsearch_best.joblib,best_f1
LightGBM,adasyn_class_weight,True,adasyn,30,30,0.6797401016780601,0.8208627152401164,0.7388217655877943,0.577867350677904,0.8274957365866457,0.6805113544419872,0.8166569271366833,0.49347138557708975,"{""model__learning_rate"": 0.05, ""model__n_estimators"": 300, ""model__num_leaves"": 31}",c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts\models\LightGBM__adasyn_class_weight__gridsearch_best.joblib,best_auc
LogReg,adasyn_class_weight,True,adasyn,30,30,0.6798086732233711,0.8220576387454582,0.7397036775729782,0.581254724111867,0.807031352485898,0.6757840391058384,0.8170247811895105,0.5414718292766635,"{""model__C"": 0.5}",c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts\models\LogReg__adasyn_class_weight__gridsearch_best.joblib,best_f1
LogReg,class_weight,True,none,30,30,0.676784451713837,0.8225590583153374,0.7434077079107505,0.5893954410307235,0.7801390528663256,0.6714842206289167,0.8176955561907707,0.5312707543445803,"{""model__C"": 0.5}",c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts\models\LogReg__class_weight__gridsearch_best.joblib,best_auc
RandomForest,adasyn,False,adasyn,30,30,0.6715271372531154,0.8054836631024384,0.7291648293500309,0.5643074250976986,0.8524203069657615,0.6790678231790156,0.8079440930502192,0.5056359706460167,"{""model__max_depth"": 14, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts\models\RandomForest__adasyn__gridsearch_best.joblib,best_f1
RandomForest,base,False,none,30,30,0.6216025853171273,0.8084501411882989,0.7422171267307522,0.6086053049749419,0.6531549258821986,0.6300936471779296,0.8107193123225247,0.48222404491454013,"{""model__max_depth"": 14, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts\models\RandomForest__base__gridsearch_best.joblib,best_auc
XGBoost,class_weight,True,none,30,30,0.687431717307055,0.8252261668160485,0.7374548020107593,0.5736735234395691,0.8524203069657615,0.6858047493403694,0.8210638041379867,0.5075563264356615,"{""model__colsample_bytree"": 0.85, ""model__learning_rate"": 0.05, ""model__max_depth"": 4, ""model__n_estimators"": 300, ""model__subsample"": 0.85}",c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts\models\XGBoost__class_weight__gridsearch_best.joblib,best_f1
XGBoost,smote,False,smote,30,30,0.6863124589856648,0.8225368506280736,0.739880059970015,0.5779244259627554,0.8386462022825659,0.6842922130050842,0.8180342983941908,0.4991679441496488,"{""model__colsample_bytree"": 0.85, ""model__learning_rate"": 0.05, ""model__max_depth"": 4, ""model__n_estimators"": 300, ""model__subsample"": 0.85}",c:\Jon\College\Thesis\V2.2.1.1\main_2015_training_artifacts\models\XGBoost__smote__gridsearch_best.joblib,best_auc
